project,tissue,is_human,annotations
tabula_muris,Bladder,False,mouse/tabula_muris/Bladder/annotations_pg.csv
tabula_muris,Heart_and_Aorta,False,mouse/tabula_muris/Heart_and_Aorta/annotations_pg.csv
tabula_muris,Kidney,False,mouse/tabula_muris/Kidney/annotations_pg.csv
tabula_muris,Limb_Muscle,False,mouse/tabula_muris/Limb_Muscle/annotations_pg.csv
tabula_muris,Liver,False,mouse/tabula_muris/Liver/annotations_pg.csv
tabula_muris,Lung,False,mouse/tabula_muris/Lung/annotations_pg.csv
tabula_muris,Mammary_Gland,False,mouse/tabula_muris/Mammary_Gland/annotations_pg.csv
tabula_muris,Marrow,False,mouse/tabula_muris/Marrow/annotations_pg.csv
tabula_muris,Spleen,False,mouse/tabula_muris/Spleen/annotations_pg.csv
tabula_muris,Thymus,False,mouse/tabula_muris/Thymus/annotations_pg.csv
tabula_muris,Tongue,False,mouse/tabula_muris/Tongue/annotations_pg.csv
tabula_muris,Trachea,False,mouse/tabula_muris/Trachea/annotations_pg.csv
tabula_senis_24m,BAT,False,mouse/tabula_senis/24_month/BAT/annotations_pg.csv
tabula_senis_24m,Bladder,False,mouse/tabula_senis/24_month/Bladder/annotations_pg.csv
tabula_senis_24m,BM,False,mouse/tabula_senis/24_month/BM/annotations_pg.csv
tabula_senis_24m,GAT,False,mouse/tabula_senis/24_month/GAT/annotations_pg.csv
tabula_senis_24m,Heart,False,mouse/tabula_senis/24_month/Heart/annotations_pg.csv
tabula_senis_24m,Hepatocytes,False,mouse/tabula_senis/24_month/Hepatocytes/annotations_pg.csv
tabula_senis_24m,Kidney,False,mouse/tabula_senis/24_month/Kidney/annotations_pg.csv
tabula_senis_24m,Lung,False,mouse/tabula_senis/24_month/Lung/annotations_pg.csv
tabula_senis_24m,MAT,False,mouse/tabula_senis/24_month/MAT/annotations_pg.csv
tabula_senis_24m,Muscle,False,mouse/tabula_senis/24_month/Muscle/annotations_pg.csv
tabula_senis_24m,Pancrease_exo,False,mouse/tabula_senis/24_month/Pancrease_exo/annotations_pg.csv
tabula_senis_24m,SCAT,False,mouse/tabula_senis/24_month/SCAT/annotations_pg.csv
tabula_senis_24m,Spleen,False,mouse/tabula_senis/24_month/Spleen/annotations_pg.csv
tabula_senis_24m,Thymus,False,mouse/tabula_senis/24_month/Thymus/annotations_pg.csv
