colon-epi,304,7006.53,3548,250,1418.01,933,98.08,23.05,17.55,70.58,19.93,20.89
colon-fib,306,3325.72,2561,249,1226.4,1096,81.01,7.37,5.65,52.46,20.71,20.75
colon-imm,319,3806.21,2136,250,822.62,705,93.06,4.46,3.65,70.8,28.06,27.12
kidney,100,1115.92,151,2,406.77,130,100,3.87,1.35,75.94,27.97,28.26
retina,485.22,675.71,672.195096790092,454,878.41,810,3.72,1.5,1.49,6.11,1.89,1.87
bipolar_data_Cell2016_sparsemat,416,1099.5,937,53,718.41,647,84.63,5.82,3.36,10.9,1.62,1.59
dsq_retina_rawcounts,219,1212.22,711,89,731.5,496,60.89,2.58,1.98,14.94,1.8,1.62
Human_retina_Cd73dp_all_BP_Peng2019,510,3992.26,2744,97,1469.62,1292,87.05,6.72,5.31,62.73,13.55,11.02
liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726.66,2189.73,2126.87850249543,99,1312.86,1127,17.92,3.19,3.08,29.48,12.99,12.88
