1,KRT19;FXYD3;ELF3;TFF3;XBP1;AZGP1;AGR2;KRT18;SPINT2;EPCAM,
2,CD52;CCL5;IL32;TRAC;CD3D;CD2;S100A4;CD69;HCST;GZMA,
3,KRT19;CD24;KRT18;KRT8;SCGB2A2;FXYD3;SPINT2;WFDC2;CRABP2;CD9,
4,SCGB2A2;NPY1R;FGFR1;AGR2;KRT19;SELENOM;KRT18;PVALB;RPS18;SCGB1D2,
5,KRT19;FXYD3;ELF3;AZGP1;XBP1;CD24;KRT18;SPINT2;EPCAM;AGR2,
6,MT-CO2;MT-ND2;MT-CO3;MT-ATP6;MT-CO1;MT-ND1;MT-ND4;MT-CYB;MT-ND3;MT-ND5,
7,STMN1;HIST1H4C;HMGB2;PCLAF;UBE2C;CKS1B;CENPF;TOP2A;UBE2S;UBE2T,
8,KRT19;KRT18;FXYD3;KRT8;SPINT2;AGR2;XBP1;CD24;S100A14;CD9,
9,HLA-DRA;LYZ;TYROBP;FCER1G;HLA-DPA1;HLA-DRB1;AIF1;CD74;HLA-DPB1;CTSS,
10,GAPDH;COX6C;KRT19;FTH1;CALML5;SERF2;H3F3A;KRT18;RPL7;RPLP1,
11,HLA-DRA;APOE;TYROBP;AIF1;HLA-DPB1;HLA-DPA1;APOC1;FTL;CD74;FCER1G,
12,IGFBP7;TAGLN;CALD1;SPARC;COL1A2;DCN;MYL9;VIM;BGN;ACTA2,
13,IGFBP7;GNG11;SPARC;RAMP2;HSPG2;A2M;IFI27;RNASE1;EGFL7;ENG,
14,CCL5;IL32;CD52;TRAC;CD2;S100A4;MALAT1;CORO1A;PTPRC;GZMA,
15,STMN1;HMGB2;H2AFZ;UBE2C;TUBA1B;CKS1B;PTTG1;BIRC5;KPNA2;HMGN2,
16,IGKC;IGLC2;IGHG3;IGHG1;JCHAIN;MZB1;IGLC3;IGHG4;IGHA1;DERL3,
17,NKG7;CCL4;CCL5;CCL3;GZMA;KLRD1;CD7;CST7;KLRB1;PRF1,
18,CD74;IGKC;IGHM;HLA-DRA;LTB;CD37;CD52;CD79A;HLA-DPB1;CXCR4,
19,ALB;SERPINA1;HP;AMBP;APOA2;APOC3;ORM1;FGB;VTN;APOC1,
20,IGKC;HLA-DRA;HLA-DPB1;CD52;RPL13A;RPL19;LTB;CD37;TMSB4X;CD74,
21,NEAT1;MALAT1;ANKRD30A;VMP1;ELF3;FOSB;XIST;CCNL1;KCNQ1OT1;TRPS1,
22,TPSAB1;TPSB2;CPA3;HPGDS;MS4A2;SRGN;HPGD;S100A4;CD69;FCER1G,
23,HBB;HBA2;HBA1;HBD;AHSP;HBM;CA1;SLC25A37;ALAS2;SNCA,
24,HBB;FTL;IGFBP5;TMSB4X;RPL7;TMSB10;RPS17;FTH1;RPL13A;RPS6,
25,TCIM;MGP;TACSTD2;TM4SF1;PLAT;TNFSF10;CXCL2;CYR61;CEBPD;CD59,
